,date,arroba,text,tweet_id,favorite,retweet
27,2019-05-22 12:35:40,binhoinvestor,"Comparação de Maio/2019(até 22/05) com Maio/2018. 

#HAPV3 #TRIS3 #IRBR3 #ENBR3 #HYPE3 #TUPY3 #B3SA3 #LREN3 #WEGE3 https://t.co/NJOjUonfTl",1131176802385309696,1,0
28,2019-05-21 15:31:00,mfbohm,Hoje demos um “até logo” para IRBR3. +152% em 14 meses no MAB. Para quem seguiu a nossa sugestao desde o IPO: +314%. Orgulho desta nossa tacada! #oterrordosshorts #melhoresacoes,1130858539545550849,291,3
29,2019-05-10 20:05:31,capmtavares,"Nem fiz caixa, o meu já tá lotado. Desmontei com financeiros iguais, e os 15% de lucro ""realizei"" aumentando IRBR3 na carteira. https://t.co/lrCqQ31FKk",1126941354469335040,0,0
30,2019-05-08 22:46:48,capmtavares,"Já realizei um pouco de IRBR3, minhas doletas nos últimos meses. Só não vou inverter a mão... https://t.co/4DdtCW1OmY",1126257169161179136,0,0
31,2019-05-19 22:45:53,marcelo08805295,@samydana @rationalexpec @glowerduarte1 @tamosai2 @hbredda Minha maior posição curiosamente foi o IRBR3 que vive de aplicar em renda fixa ... Puta negócio. Mas mais do underwriting do que de aplicação financeira,1130243205453295622,1,0
32,2019-05-10 18:05:02,portiz1982,@mfbohm IRBR3 a 200 reais tranquilo!,1126911036215504896,3,0
33,2019-05-06 14:37:01,alfredomartini,$IRBR3 - IRBBRASIL RE (IRBR-NM) - Demonstracoes Financeiras - ITR de 31/03/19 (R) https://t.co/BjX8RLRgLu,1125409134961156098,0,0
34,2019-05-25 14:46:46,_TrendTrading,"#IRBR3 PC de compra. ( e 9.1 de venda ) ativação de um setup desativa o outro. Porém papel em clara TA, venda no momento não é interessante imo. Tbm tem 9.3 de compra no semanal. https://t.co/UGuvJIqUko",1132296956259254272,5,0
35,2019-05-16 17:06:21,YoutuberDeAnime,Joguinhos a 230 reais. Mais caro q ação da IRBR3 bicho. Puta investimento aí.,1129070596141273088,1,0
36,2019-05-10 22:23:01,alfredomartini,"$IRBR3 - IRBBRASIL RE (IRBR-NM) - VM Posicao Individual (Cia,Controladas e Coligadas) https://t.co/hKTfpyJwDO",1126975958290980865,0,0
37,2019-05-26 01:02:59,wendelfisiot,"@fernandocluiz @fernandocluiz  vc já olhou IRBR3??  Tá 8,5 P/VPA... Qual sua opinião",1132452035943632899,0,0
38,2019-05-27 21:04:03,alfredomartini,$IRBR3 - IRBBRASIL RE (IRBR-NM) - Regimento interno de Comites - 23/11/18 (R) https://t.co/6GozZVbcpI,1133116680287264768,0,0
39,2019-05-25 11:26:58,amaurifcass,@SunoResearchcom IRBR3,1132246676771680261,0,0
40,2019-05-23 01:45:03,Claudio86091122,@hbredda IRBR3 é uma dessas bombas montadas...,1131375458384338944,2,0
41,2019-05-22 19:06:45,selusava,IRBBRASIL RE ON - IRBR3 - IRB - BRASIL RESSEGUROS S.A. https://t.co/9JmOqGpBSL,1131275220260667393,0,0
42,2019-05-13 16:49:00,opaizao,"@FundoVersa por falar nisso, ainda short em IRBR3?",1127979066135650304,3,0
43,2019-05-10 19:09:55,InvestWolf,Quero ver quem é macho de fazer short em IRBR3,1126927362346618881,3,1
44,2019-05-21 13:20:20,short_squeeze_,"IRBR3 sofrendo hoje por causa do acidente da Petrobras. IRB não tinha Resseguro de lucro cessante nem de montagem de plataforma. Ou seja, nenhum impacto para o IRB. É um Buy Opp !!",1130825656072384512,1,0
45,2019-05-21 09:29:38,cmanfrim,"@ricocomvc TRPL4, EGIE3 e IRBR3",1130767597560049665,1,0
46,2019-05-19 15:10:00,WallFigueiredo,"Rastreamento de #ações : Graf Diário p/ 20/05/19, Analise se romper: 
BPAN4 3,49
BBPO11 140,35
JSRE11 108,25
KNCR11 104,56
IRBR3 100,07
SULA11 33,03",1130128476613369857,0,0
47,2019-05-30 21:19:03,alfredomartini,$IRBR3 - IRBBRASIL RE (IRBR-NM) - Outros Comunicados ao Mercado - 30/05/19 https://t.co/0V1HUKGn66,1134207617830666240,0,0
48,2019-05-21 01:29:53,jcamargonyc,@edu_supercanal Cuidado com IRBR3 amanhã cai !,1130646863059849217,1,0
49,2019-04-28 22:58:26,Austrux_Investi,Confira: Proventos pago por_ IRBR3 #IRBR3 Veja em: https://t.co/HQ1O0cSJw4 #acoes #bovespa carona tag #BrasileiraoNaTNT,1122636217986818048,0,0
50,2019-05-06 01:20:37,WallFigueiredo,"Rastreamento de #ações : Graf Diário 

Volume financeiro &gt;1,5 x MM21 Graf Diário - 02/05/19)
FVBI11
FLRY3
IRBR3
GOVE11
ISUS11
ITSA3
ITUB4
JPSA3
KLBN11
LAME3
MAGG3
BEEF3
OMGE3
RAPT4
SULA11
SUZB3
TRPL4
VLID3
VVAR3

Uso https://t.co/e9QdFtUAPS",1125208716213653504,1,0
51,2019-05-02 20:57:22,zehneckel,"11:00 IRB RESSEGURO (IRBR3): https://t.co/vWSGnEjaXq

11:00 LINX (LINX3):  https://t.co/XIkkekX94b

11:30 ITAU (ITUB4): https://t.co/huYUXxQlpY",1124055299856510994,0,0
52,2019-05-02 21:55:27,leiamoneytimes,#IRBR3 Lucro do IRB salta 38% no primeiro trimestre de 2019 https://t.co/f5a9Ed9Qpo,1124069919476391937,1,2
53,2019-04-24 12:50:02,alfredomartini,$IRBR3 - (IRBR3) - LEILAO DE  IRBBRASIL REON      NM ATE  10:05:00 HS https://t.co/yvfe89i4ZC,1121033558045483008,0,0
54,2019-05-01 22:55:16,zehneckel,"*Resultados 1T19 Amanhã*
🌞 KLABIN (KLBN11).
🌚 IRB RESSEGURO (IRBR3).
🌚 NATURA (NATU3).
🌚 ITAU (ITUB4).
🌚 ODONTOPREV (ODPV3).
🌚 LINX (LINX3).

*Teleconferências*
11:00 CYRELA COMMERCIAL PROPERTIES (CCPR3): https://t.co/MnfZOk91HJ",1123722585471164418,4,0
55,2019-05-04 00:18:12,jlucianomds,"@mfbohm Hoje minha posição em irbr3 superou 100%, em 11 meses. Vlw equipe do MAB.",1124468228984573952,5,0
56,2019-05-03 09:02:54,fernandoalves78,@mfbohm Daqui a pouco ele compra IRBR3. Só uma tal de previdência passar,1124237887703273472,1,0
57,2019-05-06 01:30:52,WallFigueiredo,"Rastreamento de #ações : SEMANAL

Volume financeiro &gt;1,5 x MM21 SEM (29/04 a 03/05/19)
ENEV3
FIBR3
HGCR11
KNCR11
HYPE3
IRBR3
JSLG3
KLBN11
BEEF3
PMAM3",1125211295559630853,0,0
58,2019-04-24 00:43:34,Oneuboneub,"@lellisvieira @mfbohm Mas ele recomendou irbr3 em 40,00 hj tá em 94. Qual o seu medo de ele falar aqui no Twitter sobre ela a essa altura do campeonato? Ainda pode resultar nuns sardinhas entrando e a ação subindo ainda mais.",1120850734449340416,2,0
59,2019-04-24 00:43:34,capmtavares,"@mfbohm Resumo:  Soros explica BIDI4, mas Buffet não entende. Disrupção ainda não tem preço justo. Skin in the game:  meu portfolio 12,3% x 9,1% Ibov, com IRBR3, BIDI4 e MGLU3...",1120850736970194944,4,0
60,2019-05-03 00:01:44,leiamoneytimes,#IRBR3 IRB divulga projeções para 2019 https://t.co/3F3l5jw1rt,1124101698891522049,5,1
61,2019-04-23 17:02:42,mfbohm,Que gráfico lindo. IRBR3. Hihg histórico. Rumo aos R$ 120. 🚀🚀🚀 #melhoresacoes #MAB https://t.co/stP6v8C6Q4,1120734755119669248,140,4
62,2019-05-03 14:24:29,rickevivian,Será que chega nos R$ 100 IRBR3? @empiricus https://t.co/wjEjKT9w9P,1124318816375312387,0,0
